Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
0.5.5,Firefox 67.0,,2019-07-09 15:48:08,2019-07-09 16:16:02,27m - 53.264s,FAILED
,,,,,,
Test Cases/COLLECTION PAGE/Sort,Firefox 67.0,,2019-07-09 15:48:09,2019-07-09 15:49:56,1m - 47.094s,PASSED
"callTestCase(findTestCase(""CALL - URL""), [:], STOP_ON_FAILURE)",Firefox 67.0,,2019-07-09 15:48:09,2019-07-09 15:48:24,14.961s,PASSED
delay(2),Firefox 67.0,,2019-07-09 15:48:24,2019-07-09 15:48:26,2.026s,PASSED
"click(findTestObject(""APOLLO- Desktop/Burger Menu/Burgermenu""))",Firefox 67.0,,2019-07-09 15:48:26,2019-07-09 15:48:27,1.129s,PASSED
delay(2),Firefox 67.0,,2019-07-09 15:48:27,2019-07-09 15:48:29,2.006s,PASSED
"click(findTestObject(""APOLLO- Desktop/Burger Menu/Shop food""))",Firefox 67.0,,2019-07-09 15:48:29,2019-07-09 15:48:30,0.245s,PASSED
delay(2),Firefox 67.0,,2019-07-09 15:48:30,2019-07-09 15:48:32,2.006s,PASSED
"click(findTestObject(""APOLLO- Desktop/Burger Menu/Beef""))",Firefox 67.0,,2019-07-09 15:48:32,2019-07-09 15:48:35,3.622s,PASSED
delay(2),Firefox 67.0,,2019-07-09 15:48:35,2019-07-09 15:48:37,2.006s,PASSED
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Firefox 67.0,,2019-07-09 15:48:37,2019-07-09 15:48:37,0.009s,PASSED
delay(2),Firefox 67.0,,2019-07-09 15:48:37,2019-07-09 15:48:39,2.004s,PASSED
"click(findTestObject(""APOLLO- Desktop/Collection page/Beef skewers""))",Firefox 67.0,,2019-07-09 15:48:39,2019-07-09 15:48:39,0.003s,NOT_RUN
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Firefox 67.0,,2019-07-09 15:48:39,2019-07-09 15:48:39,0.002s,NOT_RUN
delay(2),Firefox 67.0,,2019-07-09 15:48:39,2019-07-09 15:48:39,0.001s,NOT_RUN
delay(2),Firefox 67.0,,2019-07-09 15:48:39,2019-07-09 15:48:39,0.001s,NOT_RUN
"click(findTestObject(""APOLLO- Desktop/Burger Menu/Shop food""))",Firefox 67.0,,2019-07-09 15:48:39,2019-07-09 15:48:39,0.002s,NOT_RUN
delay(2),Firefox 67.0,,2019-07-09 15:48:39,2019-07-09 15:48:39,0.001s,NOT_RUN
"click(findTestObject(""APOLLO- Desktop/Burger Menu/Beef""))",Firefox 67.0,,2019-07-09 15:48:39,2019-07-09 15:48:39,0.001s,NOT_RUN
delay(2),Firefox 67.0,,2019-07-09 15:48:39,2019-07-09 15:48:39,0.001s,NOT_RUN
"click(findTestObject(""APOLLO- Desktop/Burger Menu/Shirts link""))",Firefox 67.0,,2019-07-09 15:48:39,2019-07-09 15:48:39,0.000s,NOT_RUN
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Firefox 67.0,,2019-07-09 15:48:39,2019-07-09 15:48:39,0.001s,NOT_RUN
delay(2),Firefox 67.0,,2019-07-09 15:48:39,2019-07-09 15:48:39,0.003s,NOT_RUN
"executeJavaScript(""var previewBar = document.getElementById(""preview-bar-iframe""); previewBar.style.display = ""none"";"", [])",Firefox 67.0,,2019-07-09 15:48:39,2019-07-09 15:48:39,0.001s,NOT_RUN
delay(2),Firefox 67.0,,2019-07-09 15:48:39,2019-07-09 15:48:39,0.001s,NOT_RUN
